direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10',precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e10,precio_gasolina_98_e5,provincia,rotulo,ideess,id_municipio,id_provincia
"AVENIDA CASTILLA LA MANCHA, 26",L-D: 07:00-22:00,39.211417,ABENGIBRE,-1.539167,Abengibre,1.599,1.219,NA,NA,1.699,NA,NA,NA,ALBACETE,Nº 10.935,4375,52,02
"AVENIDA 1º DE MAYO, S/N",L-S: 08:00-22:00; D: 09:00-21:00,38.985667,ALBACETE,-1.8685,Albacete,1.729,NA,1.769,NA,1.779,NA,NA,1.889,ALBACETE,CARREFOUR,10765,54,02
"CALLE FEDERICO GARCIA LORCA, 1",L-D: 24H,39.000861,ALBACETE,-1.849833,Albacete,1.589,NA,NA,NA,1.659,NA,NA,NA,ALBACETE,PLENOIL,13933,54,02
"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",L-D: 06:00-21:30,39.054694,ALBACETE,-1.832,Albacete,1.709,NA,1.799,NA,1.759,NA,NA,1.901,ALBACETE,BP ROMICA,12054,54,02
"CALLE FEDERICO GARCIA LORCA, 5",L-S: 05:00-23:00,38.997722,ALBACETE,-1.846361,Albacete,1.745,NA,NA,NA,NA,NA,NA,NA,ALBACETE,CEPSA,4438,54,02
"CL PASEO DE LA CUBA, 15",L-D: 06:00-22:00,38.999722,ALBACETE,-1.854556,Albacete,1.719,NA,1.779,NA,1.769,NA,NA,1.889,ALBACETE,REPSOL,5195,54,02
"PASEO CUBA (LA), 36",L-D: 06:00-23:00,39.005083,ALBACETE,-1.859917,Albacete,1.749,NA,1.815,NA,1.789,NA,NA,1.921,ALBACETE,CEPSA,14123,54,02
"AVENIDA MENÉNDEZ PIDAL, 58",L-D: 24H,39.003333,ALBACETE,-1.864917,Albacete,1.709,NA,1.759,NA,1.769,NA,NA,1.879,ALBACETE,TAMOS,4369,54,02
"AVENIDA ESCRITOR RODRIGO RUBIO, 3",L-S: 09:00-21:30,39.006889,ALBACETE,-1.885361,Albacete,1.578,NA,1.638,NA,1.688,NA,NA,NA,ALBACETE,A&A,15000,54,02
"CALLE HERMANOS FALCÓ, 2",L-D: 06:30-22:30,38.98925,ALBACETE,-1.849028,Albacete,1.759,NA,1.829,NA,1.799,NA,NA,1.939,ALBACETE,CEPSA,5313,54,02
